Datetime,Serving_Cell_Id, Call_Id, measurementId,rsrpRslt,rsrqRslt,nCellCount,pci_1,rsrp_1,rsrq_1,pci_2,rsrp_2,rsrq_2,pci_3,rsrp_3,rsrq_3,pci_4,rsrp_4,rsrq_4,pci_5,rsrp_5,rsrq_5,pci_6,rsrp_6,rsrq_6,pci_7,rsrp_7,rsrq_7,pci_8,rsrpv,rsrq_8
2025-02-27 05:30:54.675,6436098,15886562,9,43,16,2,388,39,8,338,38,11,,,,,,,,,,,,,,,,,,,
2025-02-27 05:30:54.755,6436238,828964589,17,63,26,0,,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:30:54.775,6436097,15940648,11,52,22,0,,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:30:54.845,6436097,15796753,8,41,15,0,,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:30:54.875,6436097,15796609,8,67,20,1,389,59,5,,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:30:54.895,6436178,15940834,10,43,21,1,182,35,11,,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:30:54.895,6436096,15796489,8,61,15,1,389,60,12,,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:30:54.915,6436238,15940998,8,31,22,0,,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:30:54.955,6436097,828964636,16,31,14,3,221,29,12,272,27,12,9,26,4,,,,,,,,,,,,,,,,
2025-02-27 05:30:55.035,6436178,15886549,10,48,16,2,442,42,6,384,41,3,,,,,,,,,,,,,,,,,,,
2025-02-27 05:30:55.035,6436096,15940988,8,49,18,1,117,46,6,,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:30:55.065,6436238,15886417,10,59,27,0,,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:30:55.085,6436098,15886118,9,60,20,0,,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:30:55.095,6436098,15940980,8,51,22,1,183,45,8,,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:30:54.915,6436096,16168419,8,47,20,1,389,42,15,,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:30:54.915,6436098,16290933,9,56,18,1,388,50,7,,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:30:54.935,6436098,16168574,9,48,19,0,,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:30:54.985,6436096,828962663,1,54,15,3,11,50,9,389,47,13,117,46,2,,,,,,,,,,,,,,,,
2025-02-27 05:30:55.025,6436097,16168553,8,59,20,0,,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:30:55.035,6436096,16168580,9,35,15,1,10,33,13,,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:30:55.075,6436238,16167876,9,68,28,0,,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:30:55.135,6436096,16168467,12,32,13,3,389,31,11,117,28,8,11,28,6,,,,,,,,,,,,,,,,
2025-02-27 05:30:55.155,6436098,16291038,8,61,24,1,387,54,11,,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:30:55.245,6436097,16291044,8,47,25,0,,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:30:55.115,6436238,15796595,5,45,17,1,155,43,14,,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:30:55.175,6436097,15941009,9,49,25,0,,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:30:55.175,6436096,15796754,8,49,14,0,,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:30:55.215,6436097,15941009,9,49,25,0,,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:30:55.235,6436098,15796576,9,55,16,0,,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:30:55.235,6436098,15886512,8,67,24,0,,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:30:55.255,6436098,15796742,8,29,19,2,225,26,10,11,19,0,,,,,,,,,,,,,,,,,,,
2025-02-27 05:30:55.255,6436096,15796303,8,56,19,1,389,51,15,,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:30:55.275,6436097,15796185,9,40,21,1,226,36,11,,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:30:55.295,6436096,15886564,8,46,17,0,,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:30:55.415,6436096,828964660,16,42,13,2,10,45,16,11,38,2,,,,,,,,,,,,,,,,,,,
2025-02-27 05:30:55.415,6436097,15941010,8,51,21,0,,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:30:55.495,6436097,15886550,8,63,23,0,,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:30:55.535,6436098,15886562,9,44,18,3,388,41,9,338,39,10,242,38,4,,,,,,,,,,,,,,,,
2025-02-27 05:30:55.535,6436096,15940925,8,56,21,0,,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:30:55.575,6436097,15886505,10,68,23,2,9,53,0,387,52,0,,,,,,,,,,,,,,,,,,,
2025-02-27 05:30:55.575,6436238,15796755,8,62,23,0,,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:30:55.615,6436097,15940829,8,55,23,0,,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:30:55.615,6436178,15940999,8,36,15,4,387,34,7,367,33,7,442,32,6,182,30,3,,,,,,,,,,,,,
2025-02-27 05:30:55.635,6436238,15940662,14,47,22,1,300,40,10,,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:30:55.665,6436178,828964603,3,51,17,0,,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:30:55.685,6436097,15796756,8,61,19,0,,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:30:55.725,6436098,15940963,8,57,24,0,,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:30:55.735,6436238,15794397,9,51,23,1,253,36,0,,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:30:55.735,6436098,828962359,29,53,9,5,242,49,7,241,48,4,338,48,6,225,46,0,183,45,0,,,,,,,,,,
2025-02-27 05:30:55.795,6436097,15940562,10,46,19,2,387,39,2,389,38,0,,,,,,,,,,,,,,,,,,,
2025-02-27 05:30:55.815,6436238,828964665,23,49,21,1,155,46,15,,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:30:55.835,6436098,15886565,8,48,22,0,,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:30:55.245,6436238,16291039,8,62,26,0,,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:30:55.345,6436178,828964318,17,37,15,3,384,34,8,78,32,4,79,31,3,,,,,,,,,,,,,,,,
2025-02-27 05:30:55.345,6436098,16291055,8,59,13,0,,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:30:55.375,6436238,16290665,8,34,19,1,300,23,13,,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:30:55.495,6436097,16168581,11,48,17,0,,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:30:55.535,6436097,16168564,9,46,19,0,,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:30:55.555,6436096,16168441,9,55,18,0,,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:30:55.555,6436098,16290854,9,53,19,1,388,47,8,,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:30:55.555,6436097,828964642,19,47,23,0,,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:30:55.725,6436096,16291056,10,53,18,0,,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:30:55.755,6436096,828964610,16,42,14,2,10,43,16,389,32,0,,,,,,,,,,,,,,,,,,,
