Datetime,Serving_Cell_Id, Call_Id, uePhr,dlWidebandCqiCode0,dlWidebandCqiCode1,ulDmrsSinr,taValue,preambleTaValue,ulSrsSinr
2025-02-27 05:30:54.975,6436098,16291007,61,8,255,2224,16,12,2147483647,
2025-02-27 05:30:54.978,6436096,15940988,29,6,255,1600,48,60,2147483647,
2025-02-27 05:30:54.977,6436238,15886417,27,15,15,2538,16,96,1628,
2025-02-27 05:30:55.003,6436097,15796753,26,7,255,2103,32,48,2147483647,
2025-02-27 05:30:55.008,6436238,15796595,20,4,255,2680,48,72,2046,
2025-02-27 05:30:55.011,6436238,16168154,30,13,13,1299,64,72,1147,
2025-02-27 05:30:55.029,6436098,15818787,46,14,7,2292,0,48,2147483647,
2025-02-27 05:30:55.029,6436178,15818787,255,255,255,2147483647,4294967295,2147483647,2147483647,
2025-02-27 05:30:55.132,6436098,15884461,27,13,8,1975,16,36,2147483647,
2025-02-27 05:30:55.146,6436178,16291049,255,255,255,2147483647,4294967295,2147483647,2147483647,
2025-02-27 05:30:55.146,6436098,16291049,40,14,255,1939,32,48,2147483647,
2025-02-27 05:30:55.157,6436097,16291044,9,8,12,263,16,36,2147483647,
2025-02-27 05:30:55.173,6436238,16291039,33,15,15,3500,48,60,3496,
2025-02-27 05:30:55.196,6436098,15796742,5,11,255,191,48,84,2147483647,
2025-02-27 05:30:55.200,6436238,16168574,255,255,255,2147483647,4294967295,2147483647,2147483647,
2025-02-27 05:30:55.204,6436098,16168574,29,15,12,2642,32,60,2147483647,
2025-02-27 05:30:55.221,6436096,16168580,27,255,255,1511,32,48,2147483647,
2025-02-27 05:30:55.217,6436238,16168580,255,255,255,2147483647,4294967295,2147483647,2147483647,
2025-02-27 05:30:55.265,6436097,15941009,28,12,9,1040,48,60,2147483647,
2025-02-27 05:30:55.337,6436137,16168500,24,8,255,1771,4294967295,2147483647,2147483647,
2025-02-27 05:30:55.337,6436097,16168500,36,10,4,1922,16,36,2147483647,
2025-02-27 05:30:55.338,6436096,15796754,29,5,3,2553,48,60,2147483647,
2025-02-27 05:30:55.356,6436096,828964660,14,6,6,624,32,60,2147483647,
2025-02-27 05:30:55.369,6436098,15886118,32,10,7,2421,32,60,2147483647,
2025-02-27 05:30:55.396,6436098,828964318,255,9,3,2147483647,4294967295,2147483647,2147483647,
2025-02-27 05:30:55.396,6436178,828964318,30,8,5,1529,64,120,2147483647,
2025-02-27 05:30:55.403,6436238,15884461,255,255,255,2147483647,4294967295,2147483647,2147483647,
2025-02-27 05:30:55.409,6436097,15886550,16,7,11,2343,32,48,2147483647,
2025-02-27 05:30:55.408,6436238,828964318,255,9,9,2147483647,4294967295,2147483647,2147483647,
2025-02-27 05:30:55.414,6436096,15940925,30,9,10,2301,16,36,2147483647,
2025-02-27 05:30:55.426,6436097,16168060,16,11,10,1104,0,24,2147483647,
2025-02-27 05:30:55.426,6436137,16168060,255,255,255,2147483647,4294967295,2147483647,2147483647,
2025-02-27 05:30:55.424,6436238,15886118,255,14,14,2147483647,4294967295,2147483647,2147483647,
2025-02-27 05:30:55.441,6436098,16291055,35,7,255,3243,64,72,2147483647,
2025-02-27 05:30:55.470,6436098,16291045,29,7,9,1897,16,36,2147483647,
2025-02-27 05:30:55.467,6436238,16291045,255,255,255,2147483647,4294967295,2147483647,2147483647,
2025-02-27 05:30:55.663,6436098,15940963,29,13,12,1996,32,48,2147483647,
2025-02-27 05:30:55.684,6436096,828964610,26,6,6,686,0,36,2147483647,
2025-02-27 05:30:55.723,6436238,16291046,34,15,15,3500,32,48,3500,
2025-02-27 05:30:55.768,6436178,16290933,255,255,255,2147483647,4294967295,2147483647,2147483647,
2025-02-27 05:30:55.768,6436098,16290933,38,12,11,2308,0,24,2147483647,
2025-02-27 05:30:55.778,6436238,16290933,255,13,13,2147483647,4294967295,2147483647,2147483647,
2025-02-27 05:30:55.806,6436096,828963504,15,2,5,530,32,60,2147483647,
2025-02-27 05:30:55.809,6436178,828964603,30,9,255,2802,32,48,2147483647,
2025-02-27 05:30:55.832,6436097,15796756,35,13,11,2734,16,24,2147483647,
2025-02-27 05:30:55.836,6436097,828964215,32,12,12,2299,16,36,2147483647,
2025-02-27 05:30:55.849,6436098,16168572,34,12,12,2244,16,24,2147483647,
2025-02-27 05:30:55.846,6436238,16168572,255,255,255,2147483647,4294967295,2147483647,2147483647,
2025-02-27 05:30:55.875,6436096,16291056,30,15,255,2484,16,24,2147483647,
2025-02-27 05:30:55.981,6436098,15941011,9,8,8,907,64,84,2147483647,
2025-02-27 05:30:55.995,6436238,15940934,20,12,12,463,64,72,228,
2025-02-27 05:30:56.008,6436097,828964549,14,4,255,1026,48,96,2147483647,
2025-02-27 05:30:56.037,6436097,15940817,26,12,10,2240,0,24,2147483647,
2025-02-27 05:30:56.041,6436238,15940833,32,13,13,2421,48,84,1436,
2025-02-27 05:30:56.095,6436098,16290850,15,14,9,1176,32,60,2147483647,
2025-02-27 05:30:56.107,6436097,15737616,44,13,12,1955,0,24,2147483647,
2025-02-27 05:30:56.124,6436097,828964548,11,7,5,822,48,60,2147483647,
2025-02-27 05:30:56.146,6436097,15796757,30,11,10,2837,16,36,2147483647,
2025-02-27 05:30:56.147,6436178,16168582,31,11,12,2260,48,60,2147483647,
2025-02-27 05:30:56.143,6436238,16168582,255,255,255,2147483647,4294967295,2147483647,2147483647,
2025-02-27 05:30:56.185,6436238,828963441,22,6,255,1956,0,60,-725,
2025-02-27 05:30:56.219,6436096,15940686,28,5,4,1649,32,72,2147483647,
2025-02-27 05:30:56.219,6436136,15940686,255,10,6,2147483647,4294967295,2147483647,2147483647,
2025-02-27 05:30:56.223,6436096,15796743,31,7,9,1496,48,60,2147483647,
2025-02-27 05:30:56.220,6436238,15796743,255,255,255,2147483647,4294967295,2147483647,2147483647,
2025-02-27 05:30:56.243,6436098,15796727,39,13,13,2270,16,48,2147483647,
2025-02-27 05:30:56.244,6436178,16291057,28,7,8,2951,48,60,2147483647,
2025-02-27 05:30:56.261,6436238,16291058,13,14,255,1702,64,72,767,
2025-02-27 05:30:56.264,6436238,16290787,31,2,2,1563,0,12,1778,
2025-02-27 05:30:56.271,6436238,15886566,15,10,255,2176,64,84,827,
2025-02-27 05:30:56.275,6436238,16291021,22,11,11,487,80,96,894,
2025-02-27 05:30:56.301,6436178,15729487,33,11,255,2358,48,96,2147483647,
2025-02-27 05:30:56.324,6436097,15886535,33,6,9,1697,0,0,2147483647,
2025-02-27 05:30:56.354,6436097,15886553,36,10,8,1663,0,0,2147483647,
2025-02-27 05:30:56.393,6436096,15941000,31,10,255,1264,32,60,2147483647,
2025-02-27 05:30:56.426,6436098,15886429,2,8,8,2041,0,60,2147483647,
2025-02-27 05:30:56.437,6436178,16168570,255,11,255,2147483647,4294967295,2147483647,2147483647,
2025-02-27 05:30:56.437,6436098,16168570,28,11,255,2082,16,48,2147483647,
2025-02-27 05:30:56.437,6436238,15886429,255,9,9,2147483647,4294967295,2147483647,2147483647,
2025-02-27 05:30:56.447,6436098,16291048,12,10,255,915,64,72,2147483647,
2025-02-27 05:30:56.457,6436097,15886505,49,13,7,2045,16,24,2147483647,
2025-02-27 05:30:56.457,6436137,15886505,255,12,15,2147483647,4294967295,2147483647,2147483647,
2025-02-27 05:30:56.483,6436238,15886554,29,6,6,1718,0,36,-255,
2025-02-27 05:30:56.583,6436238,15796759,35,15,255,2573,64,84,2423,
