Datetime,Serving_Cell_Id, Call_Id, ta
2025-02-27 05:41:58.610,6436096,15887468,48,
2025-02-27 05:41:58.660,6436238,16102365,64,
2025-02-27 05:41:58.774,6436097,16291914,0,
2025-02-27 05:41:58.831,6436098,16291742,48,
2025-02-27 05:41:58.876,6436098,15941970,48,
2025-02-27 05:41:58.906,6436238,829019968,48,
2025-02-27 05:41:58.940,6436098,15887469,16,
2025-02-27 05:41:58.942,6436098,829020212,80,
2025-02-27 05:41:59.004,6436098,829020036,32,
2025-02-27 05:41:59.060,6436097,16169539,16,
2025-02-27 05:41:59.151,6436097,16291988,16,
2025-02-27 05:41:59.262,6436238,15797458,48,
2025-02-27 05:41:59.450,6436098,15797579,64,
2025-02-27 05:41:59.745,6436098,15941773,32,
2025-02-27 05:41:59.750,6436098,15885154,32,
2025-02-27 05:41:59.798,6436096,15941872,16,
2025-02-27 05:41:59.887,6436098,15797711,48,
2025-02-27 05:41:59.968,6436097,15887221,16,
2025-02-27 05:42:00.084,6436096,16169421,48,
2025-02-27 05:42:00.106,6436097,829020207,32,
2025-02-27 05:42:00.449,6436096,16169494,48,
2025-02-27 05:42:00.862,6436097,15887480,16,
2025-02-27 05:42:00.901,6436238,15941974,64,
2025-02-27 05:42:00.986,6436098,15941533,0,
2025-02-27 05:42:01.009,6436238,15886921,16,
2025-02-27 05:42:01.113,6436098,15887449,64,
2025-02-27 05:42:01.115,6436098,15797715,64,
2025-02-27 05:42:01.230,6436137,15797707,112,
2025-02-27 05:42:01.448,6436098,15797712,32,
2025-02-27 05:42:01.527,6436098,16169431,48,
2025-02-27 05:42:01.842,6436098,15941955,48,
2025-02-27 05:42:01.885,6436097,15887473,16,
2025-02-27 05:42:02.083,6436097,828962127,80,
2025-02-27 05:42:02.089,6436097,16169566,80,
2025-02-27 05:42:02.134,6436098,15941938,32,
2025-02-27 05:42:02.182,6436096,828959225,48,
2025-02-27 05:42:02.349,6436096,15797719,16,
2025-02-27 05:42:02.431,6436097,15941976,16,
2025-02-27 05:42:02.434,6436096,16169549,48,
2025-02-27 05:42:02.487,6436098,15797698,32,
2025-02-27 05:42:02.585,6436098,15886403,0,
2025-02-27 05:42:02.590,6436096,829020168,16,
2025-02-27 05:42:02.961,6436097,16169567,16,
2025-02-27 05:42:03.002,6436098,16169557,48,
2025-02-27 05:42:03.108,6436138,829020070,128,
2025-02-27 05:42:03.133,6436137,16291849,96,
2025-02-27 05:42:03.249,6436098,829020230,48,
2025-02-27 05:42:03.430,6436226,829020168,16,
2025-02-27 05:42:03.440,6436096,15887476,16,
2025-02-27 05:42:03.530,6436098,16291987,48,
2025-02-27 05:42:03.628,6436137,15941977,112,
2025-02-27 05:42:03.637,6436238,15941978,32,
2025-02-27 05:42:03.780,6436238,16102365,64,
2025-02-27 05:42:03.894,6436097,16291914,0,
2025-02-27 05:42:03.951,6436098,16291742,48,
2025-02-27 05:42:03.972,6436097,15887480,0,
2025-02-27 05:42:04.026,6436238,829019968,48,
2025-02-27 05:42:04.060,6436098,15887469,16,
2025-02-27 05:42:04.124,6436098,829020036,32,
2025-02-27 05:42:04.180,6436097,16169539,16,
2025-02-27 05:42:04.382,6436238,15797458,48,
2025-02-27 05:42:04.570,6436098,15797579,64,
2025-02-27 05:42:04.865,6436098,15941773,32,
2025-02-27 05:42:04.870,6436098,15885154,32,
2025-02-27 05:42:04.909,6436137,15941977,96,
2025-02-27 05:42:04.918,6436096,15941872,16,
2025-02-27 05:42:05.088,6436097,15887221,16,
2025-02-27 05:42:05.204,6436096,16169421,48,
2025-02-27 05:42:05.226,6436097,829020207,32,
2025-02-27 05:42:05.293,6436098,15797722,32,
2025-02-27 05:42:05.569,6436096,16169494,32,
2025-02-27 05:42:05.822,6436238,15941974,64,
2025-02-27 05:42:05.840,6436097,15941981,16,
2025-02-27 05:42:05.922,6436098,16292000,48,
2025-02-27 05:42:06.035,6436098,15797715,64,
2025-02-27 05:42:06.106,6436098,15941533,0,
2025-02-27 05:42:06.130,6436238,15886921,16,
2025-02-27 05:42:06.233,6436098,15887449,64,
2025-02-27 05:42:06.568,6436098,15797712,32,
2025-02-27 05:42:06.647,6436098,16169431,48,
2025-02-27 05:42:06.962,6436098,15941955,48,
2025-02-27 05:42:07.005,6436097,15887473,16,
2025-02-27 05:42:07.009,6436097,16169566,80,
2025-02-27 05:42:07.203,6436097,828962127,80,
2025-02-27 05:42:07.254,6436098,15941938,32,
2025-02-27 05:42:07.269,6436096,15797719,16,
2025-02-27 05:42:07.302,6436096,828959225,48,
2025-02-27 05:42:07.351,6436097,15941976,16,
2025-02-27 05:42:07.554,6436096,16169549,48,
2025-02-27 05:42:07.705,6436098,15886403,0,
2025-02-27 05:42:07.881,6436097,16169567,0,
2025-02-27 05:42:08.169,6436098,829020230,48,
2025-02-27 05:42:08.228,6436138,829020070,128,
2025-02-27 05:42:08.253,6436137,16291849,96,
2025-02-27 05:42:08.351,6436226,829020168,16,
2025-02-27 05:42:08.497,6436097,15797727,0,
2025-02-27 05:42:08.560,6436096,15887476,16,
2025-02-27 05:42:08.558,6436238,15941978,16,
2025-02-27 05:42:08.650,6436098,16291987,48,
2025-02-27 05:42:08.892,6436097,15887480,0,
2025-02-27 05:42:08.901,6436238,16102365,64,
2025-02-27 05:42:09.014,6436097,16291914,0,
2025-02-27 05:42:09.071,6436098,16291742,48,
2025-02-27 05:42:09.147,6436238,829019968,48,
2025-02-27 05:42:09.180,6436098,15887469,16,
2025-02-27 05:42:09.244,6436098,829020036,32,
2025-02-27 05:42:09.300,6436097,16169539,16,
2025-02-27 05:42:09.503,6436238,15797458,48,
2025-02-27 05:42:09.690,6436098,15797579,64,
2025-02-27 05:42:09.829,6436137,15941977,96,
2025-02-27 05:42:09.943,6436098,16292006,32,
2025-02-27 05:42:09.985,6436098,15941773,32,
