Datetime,Serving_Cell_Id, Call_Id, measurementId,servingCellRsrp,servingCellRsrq,nCellCount,cellInfoList[0].cellId,cellInfoList[0].pci,cellInfoList[0].carrierFrequency,cellInfoList[0].rsrp,cellInfoList[0].rsrq,cellInfoList[1].cellId,cellInfoList[1].pci,cellInfoList[1].carrierFrequency,cellInfoList[1].rsrp,cellInfoList[1].rsrq,cellInfoList[2].cellId,cellInfoList[2].pci,cellInfoList[2].carrierFrequency,cellInfoList[2].rsrp,cellInfoList[2].rsrq,cellInfoList[3].cellId,cellInfoList[3].pci,cellInfoList[3].carrierFrequency,cellInfoList[3].rsrp,cellInfoList[3].rsrq,cellInfoList[4].cellId,cellInfoList[4].pci,cellInfoList[4].carrierFrequency,cellInfoList[4].rsrp,cellInfoList[4].rsrq,cellInfoList[5].cellId,cellInfoList[5].pci,cellInfoList[5].carrierFrequency,cellInfoList[5].rsrp,cellInfoList[5].rsrq,cellInfoList[6].cellId,cellInfoList[6].pci,cellInfoList[6].carrierFrequency,cellInfoList[6].rsrp,cellInfoList[6].rsrq,cellInfoList[7].cellId,cellInfoList[7].pci,cellInfoList[7].carrierFrequency,cellInfoList[7].rsrp,cellInfoList[7].rsrq,locationInfoPresent,shapeType,User_Latitude,User_Longitude,User_Altitude,Geo_Hash,undefinedInfo.latitudeSign,undefinedInfo.degreesLatitude,undefinedInfo.degreesLongitude,undefinedInfo.altitudeSign,undefinedInfo.degreesAltitude,undefinedInfo.uncertaintyCycle,ellipsoidPointInfo.latitudeSign,ellipsoidPointInfo.degreesLatitude,ellipsoidPointInfo.degreesLongitude,ellipsoidPointWithAltitudeInfo.latitudeSign,ellipsoidPointWithAltitudeInfo.degreesLatitude,ellipsoidPointWithAltitudeInfo.degreesLongitude,ellipsoidPointWithAltitudeInfo.altitudeDirection,ellipsoidPointWithAltitudeInfo.altitude,ellipsoidPointWithUncertaintyCircleInfo.latitudeSign,ellipsoidPointWithUncertaintyCircleInfo.degreesLatitude,ellipsoidPointWithUncertaintyCircleInfo.degreesLongitude,ellipsoidPointWithUncertaintyCircleInfo.uncertainty,ellipsoidPointWithUncertaintyEllipseInfo.latitudeSign,ellipsoidPointWithUncertaintyEllipseInfo.degreesLatitude,ellipsoidPointWithUncertaintyEllipseInfo.degreesLongitude,ellipsoidPointWithUncertaintyEllipseInfo.uncertaintySemiMajor,ellipsoidPointWithUncertaintyEllipseInfo.uncertaintySemiMinor,ellipsoidPointWithUncertaintyEllipseInfo.orientationMajorAxis,ellipsoidPointWithUncertaintyEllipseInfo.confidence,ellipsoidPointWithAltitudAndUncertaintyEllipsoidInfo.latitudeSign,ellipsoidPointWithAltitudAndUncertaintyEllipsoidInfo.degreesLatitude,ellipsoidPointWithAltitudAndUncertaintyEllipsoidInfo.degreesLongitude,ellipsoidPointWithAltitudAndUncertaintyEllipsoidInfo.altitudeDirection,ellipsoidPointWithAltitudAndUncertaintyEllipsoidInfo.altitude,ellipsoidPointWithAltitudAndUncertaintyEllipsoidInfo.uncertaintySemiMajor,ellipsoidPointWithAltitudAndUncertaintyEllipsoidInfo.uncertaintySemiMinor,ellipsoidPointWithAltitudAndUncertaintyEllipsoidInfo.orientationMajorAxis,ellipsoidPointWithAltitudAndUncertaintyEllipsoidInfo.uncertaintyAltitude,ellipsoidPointWithAltitudAndUncertaintyEllipsoidInfo.confidence
2025-02-27 05:41:57.988,6436098,16169557,10,51,13,3,6436138,104,3650,56,18,6436136,102,3650,52,10,6905642,95,3650,50,7,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:41:58.048,6436238,16291738,13,64,19,2,6421657,108,41486,31,15,6905752,155,41486,24,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:41:58.098,6436137,16291849,16,30,23,1,4294967295,285,41090,11,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:41:58.508,6436098,16291987,10,33,16,2,5203024,384,525,23,12,6905682,182,525,19,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:41:58.508,6436098,16291987,11,33,16,1,6436238,383,41288,25,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:41:58.508,6436098,16291987,12,33,16,1,7054910,309,150,30,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:41:58.508,6436098,16291987,13,33,16,1,6905732,155,41090,13,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:41:58.508,6436098,16291987,14,33,16,1,6905752,155,41486,8,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:41:58.508,6436098,16291987,15,33,16,2,6905652,95,2530,26,17,7054900,387,2530,24,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:41:58.368,6436096,15887476,10,62,15,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:41:58.368,6436096,15887476,11,62,15,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:41:58.368,6436096,15887476,12,62,15,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:41:58.368,6436096,15887476,13,62,15,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:41:58.368,6436096,15887476,14,62,15,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:41:58.368,6436096,15887476,15,62,15,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:41:58.648,6436096,15941872,10,59,19,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:41:58.668,6436096,15887468,10,44,14,3,4294967295,108,41288,32,16,6905742,155,41288,29,9,6436238,383,41288,25,7,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:41:58.668,6436096,15887468,11,44,14,1,7054910,309,150,50,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:41:58.668,6436096,15887468,12,44,14,3,6421637,108,41090,37,16,6905732,155,41090,35,11,6436226,381,41090,33,8,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:41:58.668,6436096,15887468,13,44,14,2,6421587,387,525,37,8,6905682,182,525,32,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:41:58.688,6436238,16102365,11,46,21,3,6905682,182,525,35,7,7054928,442,525,32,0,4294967295,79,525,32,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:41:58.688,6436238,16102365,12,46,21,2,6436226,381,41090,33,17,6905732,155,41090,29,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:41:58.688,6436238,16102365,14,46,21,1,6436098,389,1625,51,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:41:58.688,6436238,16102365,15,46,21,1,7054910,309,150,50,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:41:58.688,6436238,16102365,16,46,21,3,4294967295,19,38948,32,5,4294967295,139,38948,32,5,4294967295,267,38948,32,3,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:41:58.788,6436137,16291849,14,30,23,1,7054909,311,150,24,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:41:58.788,6436137,16291849,15,30,23,3,4294967295,78,525,15,7,5203025,385,525,14,7,7054928,442,525,11,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:41:58.788,6436137,16291849,17,30,23,2,6436097,388,1625,27,16,5202945,226,1625,19,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:41:58.858,6436097,16291914,10,63,23,1,6436226,381,41090,39,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:41:58.858,6436097,16291914,11,63,23,2,7054909,311,150,52,15,7054908,310,150,49,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:41:58.858,6436097,16291914,12,63,23,1,7054928,442,525,48,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:41:58.858,6436097,16291914,13,63,23,1,6436238,383,41288,30,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:41:58.858,6436097,16291914,14,63,23,3,4294967295,45,41486,21,10,4294967295,155,41486,19,8,5203095,300,41486,17,2,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:41:58.858,6436097,16291914,15,63,23,1,6436137,103,3650,63,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:41:58.888,6436098,16291742,10,52,15,2,7054900,387,2530,53,21,6905652,95,2530,51,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:41:58.888,6436098,16291742,11,52,15,3,6436138,104,3650,58,20,6905642,95,3650,53,11,6436136,102,3650,53,10,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:41:58.688,6436096,15887468,14,44,14,2,6905752,155,41486,29,18,6421657,108,41486,25,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:41:58.688,6436096,15887468,15,44,14,1,7054900,387,2530,55,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:41:58.748,6436138,829020070,12,27,11,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:41:58.748,6436138,829020070,14,27,11,3,5168640,241,1625,15,5,5201155,266,1625,15,5,5168641,242,1625,14,3,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:41:58.748,6436138,829020070,15,27,11,1,7054910,309,150,12,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:41:58.968,6436098,15941970,10,35,16,2,6905732,155,41090,17,11,5201282,253,41090,13,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:41:58.968,6436098,15941970,11,35,16,2,6436238,383,41288,23,18,6905742,155,41288,16,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:41:58.968,6436098,15941970,12,35,16,2,5203024,384,525,21,12,6905682,182,525,19,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:41:58.968,6436098,15941970,13,35,16,1,7054910,309,150,28,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:41:58.968,6436098,15941970,14,35,16,1,6905752,155,41486,12,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:41:58.968,6436098,15941970,15,35,16,1,6436138,104,3650,51,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:41:59.028,6436098,15887469,10,50,23,1,5203024,384,525,40,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
