Datetime,Serving_Cell_Id, Call_Id, uePhr
2025-02-27 05:30:54.948,6436097,15941001,38,
2025-02-27 05:30:54.944,6436238,15941001,255,
2025-02-27 05:30:54.956,6436097,16168553,35,
2025-02-27 05:30:55.011,6436098,15940980,30,
2025-02-27 05:30:55.033,6436098,16168578,255,
2025-02-27 05:30:55.033,6436178,16168578,28,
2025-02-27 05:30:55.054,6436098,16291038,39,
2025-02-27 05:30:55.190,6436096,15796303,40,
2025-02-27 05:30:55.455,6436096,15886564,25,
2025-02-27 05:30:55.549,6436097,15940829,26,
2025-02-27 05:30:55.549,6436238,15940662,29,
2025-02-27 05:30:55.563,6436097,15941010,28,
2025-02-27 05:30:55.576,6436178,15940999,30,
2025-02-27 05:30:55.654,6436097,16168581,16,
2025-02-27 05:30:55.690,6436238,15796755,33,
2025-02-27 05:30:55.728,6436238,828964665,32,
2025-02-27 05:30:55.757,6436238,15886551,23,
2025-02-27 05:30:55.813,6436097,15886458,37,
2025-02-27 05:30:55.874,6436097,16291030,25,
2025-02-27 05:30:55.937,6436096,15940981,37,
2025-02-27 05:30:55.964,6436098,15886565,26,
2025-02-27 05:30:56.022,6436098,828963198,10,
2025-02-27 05:30:56.170,6436097,15886552,24,
2025-02-27 05:30:56.180,6436098,16291047,14,
2025-02-27 05:30:56.234,6436238,828963725,36,
2025-02-27 05:30:56.360,6436098,16168561,31,
2025-02-27 05:30:56.360,6436178,16168561,255,
2025-02-27 05:30:56.356,6436238,16168561,255,
2025-02-27 05:30:56.464,6436097,828962127,16,
2025-02-27 05:30:56.472,6436097,16168562,18,
2025-02-27 05:30:56.506,6436097,15796758,10,
2025-02-27 05:30:56.534,6436097,828964446,14,
2025-02-27 05:30:56.695,6436178,828964598,42,
2025-02-27 05:30:56.720,6436098,15886555,24,
2025-02-27 05:30:56.727,6436096,16291024,31,
2025-02-27 05:30:56.753,6436137,828964612,16,
2025-02-27 05:30:56.757,6436096,15941012,31,
2025-02-27 05:30:56.759,6436238,16102365,28,
2025-02-27 05:30:56.819,6436097,15886418,8,
2025-02-27 05:30:56.854,6436096,16168410,29,
2025-02-27 05:30:56.969,6436098,15886403,39,
2025-02-27 05:30:57.004,6436098,16168583,11,
2025-02-27 05:30:57.184,6436238,16167876,28,
2025-02-27 05:30:57.254,6436238,15886452,31,
2025-02-27 05:30:57.350,6436098,828959225,32,
2025-02-27 05:30:57.429,6436178,16168485,31,
2025-02-27 05:30:57.597,6436097,15796760,34,
2025-02-27 05:30:57.790,6436096,15941003,33,
2025-02-27 05:30:57.819,6436238,16291031,29,
2025-02-27 05:30:57.836,6436096,15885868,42,
2025-02-27 05:30:57.892,6436098,15886161,40,
2025-02-27 05:30:58.004,6436098,828964667,10,
2025-02-27 05:30:58.111,6436098,15796747,13,
2025-02-27 05:30:58.238,6436138,828964398,25,
2025-02-27 05:30:58.240,6436238,15796748,25,
2025-02-27 05:30:58.285,6436097,15886559,25,
2025-02-27 05:30:58.288,6436096,16168576,38,
2025-02-27 05:30:58.348,6436238,828964380,27,
2025-02-27 05:30:58.368,6436098,15940943,15,
2025-02-27 05:30:58.372,6436098,16291051,45,
2025-02-27 05:30:58.415,6436097,16291043,26,
2025-02-27 05:30:58.414,6436238,16168569,31,
2025-02-27 05:30:58.543,6436097,15796761,25,
2025-02-27 05:30:58.661,6436097,16290888,12,
2025-02-27 05:30:58.741,6436238,828964664,26,
2025-02-27 05:30:58.755,6436096,15941017,34,
2025-02-27 05:30:58.751,6436238,15941017,255,
2025-02-27 05:30:58.791,6436096,15941006,52,
2025-02-27 05:30:58.787,6436238,15941006,255,
2025-02-27 05:30:58.804,6436098,16168528,14,
2025-02-27 05:30:58.842,6436136,828964659,26,
2025-02-27 05:30:58.848,6436178,828962359,255,
2025-02-27 05:30:58.852,6436098,828962359,27,
2025-02-27 05:30:59.110,6436098,16291008,14,
2025-02-27 05:30:59.111,6436238,16291008,255,
2025-02-27 05:30:59.123,6436238,15940897,38,
2025-02-27 05:30:59.156,6436098,15940985,6,
2025-02-27 05:30:59.178,6436238,15885154,34,
2025-02-27 05:30:59.249,6436097,15796752,31,
2025-02-27 05:30:59.344,6436238,828963169,28,
2025-02-27 05:30:59.351,6436238,15940971,31,
2025-02-27 05:30:59.359,6436178,16168579,33,
