Datetime,Serving_Cell_Id, Call_Id, eRabCount,eRabThroughputStatList[0].eRabId,eRabThroughputStatList[0].qci,eRabThroughputStatList[0].ulDataVolume,eRabThroughputStatList[0].dlDataVolume,eRabThroughputStatList[1].eRabId,eRabThroughputStatList[1].qci,eRabThroughputStatList[1].ulDataVolume,eRabThroughputStatList[1].dlDataVolume,eRabThroughputStatList[2].eRabId,eRabThroughputStatList[2].qci,eRabThroughputStatList[2].ulDataVolume,eRabThroughputStatList[2].dlDataVolume,eRabThroughputStatList[3].eRabId,eRabThroughputStatList[3].qci,eRabThroughputStatList[3].ulDataVolume,eRabThroughputStatList[3].dlDataVolume,eRabThroughputStatList[4].eRabId,eRabThroughputStatList[4].qci,eRabThroughputStatList[4].ulDataVolume,eRabThroughputStatList[4].dlDataVolume,eRabThroughputStatList[5].eRabId,eRabThroughputStatList[5].qci,eRabThroughputStatList[5].ulDataVolume,eRabThroughputStatList[5].dlDataVolume,eRabThroughputStatList[6].eRabId,eRabThroughputStatList[6].qci,eRabThroughputStatList[6].ulDataVolume,eRabThroughputStatList[6].dlDataVolume,eRabThroughputStatList[7].eRabId,eRabThroughputStatList[7].qci,eRabThroughputStatList[7].ulDataVolume,eRabThroughputStatList[7].dlDataVolume
2025-02-27 05:41:58.610,6436096,15887468,3,5,9,182,0,6,8,0,88,7,5,0,0,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:41:58.659,6436238,16102365,3,5,9,20093,17110,6,5,0,0,7,8,0,431773,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:41:58.774,6436097,16291914,3,5,9,7427,0,6,8,0,285991,7,5,0,0,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:41:58.830,6436098,16291742,3,5,9,13249,181507,6,8,0,180,7,5,0,0,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:41:58.876,6436098,15941970,2,5,9,237,288,6,5,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:41:58.905,6436238,829019968,3,5,9,20864,519048,6,5,0,0,7,8,0,0,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:41:58.940,6436098,15887469,2,6,5,0,0,8,9,0,476,,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:41:58.942,6436098,829020212,2,5,9,0,0,6,5,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:41:59.004,6436098,829020036,2,5,9,3455,0,6,8,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:41:59.060,6436097,16169539,3,5,9,1157,1242,6,5,0,0,7,8,0,0,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:41:59.151,6436097,16291988,2,5,9,191,195,6,5,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:41:59.261,6436238,15797458,3,5,9,19610,360745,6,5,0,0,7,8,0,0,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:41:59.450,6436098,15797579,2,5,8,5533,80274,6,7,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:41:59.744,6436098,15941773,3,5,9,43324,712288,6,5,0,0,7,8,0,0,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:41:59.749,6436098,15885154,3,5,9,73882,3488,6,5,0,0,7,8,0,629477,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:41:59.798,6436096,15941872,2,5,8,3570,991,6,5,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:41:59.817,6436226,15941872,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:41:59.887,6436098,15797711,2,5,9,147,143,6,8,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
