Datetime,Serving_Cell_Id, Call_Id, ulDataVolumePerUe,ulDataVolumeLastTtiPerUe,ulDataTransmissionTimePerUe,dlDataVolumePerUe,dlDataVolumeLastTtiPerUe,dlDataTransmissionTimePerUe,eRabCount,eRabThroughputStatList[0].eRabId,eRabThroughputStatList[0].qci,eRabThroughputStatList[0].ulDataVolumePerERab,eRabThroughputStatList[0].ulDataTransmissionTimePerERab,eRabThroughputStatList[0].dlDataVolumePerERab,eRabThroughputStatList[0].dlDataTransmissionTimePerERab,eRabThroughputStatList[1].eRabId,eRabThroughputStatList[1].qci,eRabThroughputStatList[1].ulDataVolumePerERab,eRabThroughputStatList[1].ulDataTransmissionTimePerERab,eRabThroughputStatList[1].dlDataVolumePerERab,eRabThroughputStatList[1].dlDataTransmissionTimePerERab,eRabThroughputStatList[2].eRabId,eRabThroughputStatList[2].qci,eRabThroughputStatList[2].ulDataVolumePerERab,eRabThroughputStatList[2].ulDataTransmissionTimePerERab,eRabThroughputStatList[2].dlDataVolumePerERab,eRabThroughputStatList[2].dlDataTransmissionTimePerERab,eRabThroughputStatList[3].eRabId,eRabThroughputStatList[3].qci,eRabThroughputStatList[3].ulDataVolumePerERab,eRabThroughputStatList[3].ulDataTransmissionTimePerERab,eRabThroughputStatList[3].dlDataVolumePerERab,eRabThroughputStatList[3].dlDataTransmissionTimePerERab,eRabThroughputStatList[4].eRabId,eRabThroughputStatList[4].qci,eRabThroughputStatList[4].ulDataVolumePerERab,eRabThroughputStatList[4].ulDataTransmissionTimePerERab,eRabThroughputStatList[4].dlDataVolumePerERab,eRabThroughputStatList[4].dlDataTransmissionTimePerERab,eRabThroughputStatList[5].eRabId,eRabThroughputStatList[5].qci,eRabThroughputStatList[5].ulDataVolumePerERab,eRabThroughputStatList[5].ulDataTransmissionTimePerERab,eRabThroughputStatList[5].dlDataVolumePerERab,eRabThroughputStatList[5].dlDataTransmissionTimePerERab,eRabThroughputStatList[6].eRabId,eRabThroughputStatList[6].qci,eRabThroughputStatList[6].ulDataVolumePerERab,eRabThroughputStatList[6].ulDataTransmissionTimePerERab,eRabThroughputStatList[6].dlDataVolumePerERab,eRabThroughputStatList[6].dlDataTransmissionTimePerERab,eRabThroughputStatList[7].eRabId,eRabThroughputStatList[7].qci,eRabThroughputStatList[7].ulDataVolumePerERab,eRabThroughputStatList[7].ulDataTransmissionTimePerERab,eRabThroughputStatList[7].dlDataVolumePerERab,eRabThroughputStatList[7].dlDataTransmissionTimePerERab
2025-02-27 05:36:29.459,6436238,15940897,0,66184,35,190946,287538,378,3,5,9,14030,83,190946,378,6,5,0,0,0,0,7,8,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:36:29.556,6436137,828964612,0,0,0,0,0,0,2,5,8,0,0,0,0,6,5,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:36:29.621,6436097,15797226,0,0,0,0,0,0,3,5,9,0,0,0,0,6,5,0,0,0,0,7,8,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:36:29.664,6436098,15941414,0,587424,39,667044,146635,1857,3,5,9,99478,160,667044,1857,6,8,2,1,0,0,7,5,2,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:36:29.751,6436238,15885154,0,327280,141,63125,592887,363,3,5,9,86892,239,0,0,6,5,0,0,0,0,7,8,0,0,63125,363,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:36:29.769,6436098,15886403,0,131584,35,2765,47876,679,3,5,9,22214,146,2704,678,6,8,0,0,0,0,7,7,0,0,61,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:36:29.835,6436096,15941510,0,13768,5,0,2087,0,2,5,9,2373,13,0,0,7,5,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:36:30.399,6436238,829019619,0,33296,12,270,8274,5,3,5,9,10609,32,270,5,7,5,0,0,0,0,6,8,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:36:30.622,6436098,16291532,0,0,0,0,0,0,2,5,9,0,0,0,0,6,8,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:36:30.620,6436238,16291532,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:36:30.825,6436238,15886998,0,5672,10,0,6614,0,3,5,9,2544,18,0,0,6,5,0,0,0,0,7,8,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:36:30.912,6436098,15796747,0,54704,7,0,648,0,2,5,9,8590,30,0,0,6,8,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:36:30.907,6436238,16102365,0,34544,29,1598,19069,127,3,5,9,7377,79,1598,127,6,5,0,0,0,0,7,8,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:36:30.924,6436096,829019821,0,31296,8,3662,853,39,3,5,9,5050,16,3662,39,6,5,0,0,0,0,7,8,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:36:30.980,6436096,15886992,0,0,0,0,0,0,2,5,8,0,0,0,0,6,5,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:36:31.225,6436137,16291559,0,9408,23,30563,12070,40,3,5,9,5973,50,30563,40,6,8,0,0,0,0,7,5,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:36:31.266,6436238,828963725,0,85680,71,205177,161559,322,3,5,9,34382,113,184695,312,6,5,0,0,0,0,7,8,0,0,20482,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:36:31.319,6436096,15887007,0,632,2,0,40,0,2,5,9,310,3,0,0,6,5,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:36:31.453,6436096,829019813,0,143304,113,945347,3837,3502,2,5,8,40561,223,945347,3502,6,5,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:36:31.609,6436097,16291244,0,113464,12,198417,95430,42,3,5,9,35536,40,198417,42,6,5,0,0,0,0,7,8,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:36:31.610,6436098,16291566,0,0,0,0,96,0,2,5,9,0,0,0,0,6,5,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:36:31.760,6436096,829019823,0,0,0,0,0,0,2,5,9,0,2,0,0,6,5,0,2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:36:31.899,6436097,16169058,0,0,0,0,0,0,3,5,9,0,0,0,0,6,8,0,0,0,0,7,5,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:36:32.441,6436098,16169091,0,0,0,0,0,0,2,5,9,0,0,0,0,6,5,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:36:32.867,6436226,16169103,0,101000,24,740318,9562,722,2,5,8,19888,65,740318,722,6,7,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:36:32.871,6436098,15941507,0,0,0,0,0,0,3,5,9,0,0,0,0,6,5,0,0,0,0,7,8,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:36:33.036,6436098,16291547,0,2664,0,0,327,0,2,5,8,333,5,0,0,6,7,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:36:33.149,6436098,16169074,0,13552,2,246630,3529,67,1,5,8,4827,6,246630,67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:36:33.185,6436098,16168748,0,752,1,27,141,15,3,5,9,196,3,27,15,6,5,0,0,0,0,7,8,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:36:33.185,6436238,16169104,0,2368,5,129,402,17,2,5,8,626,10,129,17,6,5,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:36:33.257,6436238,15886921,0,114896,40,9456,12625,74,3,5,9,22361,75,9456,74,6,5,0,0,0,0,7,8,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:36:33.396,6436238,15796989,0,76112,49,81333,123085,158,3,5,9,17910,93,81333,158,6,5,0,0,0,0,7,8,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:36:33.556,6436098,16291569,0,1392,0,0,216,0,2,5,9,0,1,0,0,6,5,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:36:33.550,6436238,16291569,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:36:33.606,6436226,829019787,0,34904,2,0,1603,0,3,5,9,4574,19,0,0,6,5,0,0,0,0,7,8,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:36:33.625,6436097,15887011,0,8832,1,0,190,0,2,5,9,1236,5,0,0,6,5,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:36:33.677,6436096,829019818,0,1488,0,0,104,0,3,5,9,186,4,0,0,6,8,0,0,0,0,7,5,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:36:33.696,6436226,829019799,0,11744,10,34,2552,15,3,5,9,2469,28,34,15,6,5,0,0,0,0,7,8,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:36:33.711,6436098,828964598,0,76280,1,23,5614,1,3,5,9,0,0,0,0,7,5,0,0,0,0,6,1,9719,240,23,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:36:33.772,6436097,828964380,0,352136,74,69576,657438,74,3,5,9,74709,228,69576,74,6,5,0,0,0,0,7,8,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:36:33.816,6436098,16291570,0,2488,2,0,635,0,3,6,5,0,0,0,0,5,8,0,0,0,0,8,9,382,8,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:36:33.827,6436098,16168693,0,976,0,0,78,0,3,5,9,122,2,0,0,6,5,0,0,0,0,7,8,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:36:33.842,6436096,15797241,0,784,0,0,126,0,2,5,8,98,1,0,0,6,5,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:36:34.236,6436097,15941519,0,4016,0,0,259,0,1,5,9,502,3,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:36:34.385,6436097,828962127,0,27984,5,41,4355,5,4,5,9,8475,33,41,5,6,5,0,0,0,0,7,8,0,0,0,0,8,7,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:36:34.487,6436096,828959225,0,109912,14,111771,7367,176,3,5,9,15424,32,111771,176,6,5,0,0,0,0,7,8,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:36:34.580,6436238,15940897,0,42040,28,81187,276669,182,3,5,9,11909,60,81187,182,6,5,0,0,0,0,7,8,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
