Datetime,Serving_Cell_Id, Call_Id, ulRetransErrorNumber,ulCrcInitTransTotalNumber,dlRetransErrorNumber,dlCode0InitTransTotalNumber,dlCode1InitTransTotalNumber,ulRbUsedNumber,dlRbUsedNumber,dlWidebandCqiCode0,dlWidebandCqiCode1,rankIndication
2025-02-27 05:30:54.948,6436097,15941001,4294967295,4294967295,4294967295,4294967295,4294967295,4294967295,4294967295,13,14,1,
2025-02-27 05:30:54.944,6436238,15941001,4294967295,4294967295,4294967295,4294967295,4294967295,4294967295,4294967295,255,255,255,
2025-02-27 05:30:54.956,6436097,16168553,0,43,0,153,139,347,8860,12,13,1,
2025-02-27 05:30:55.011,6436098,15940980,0,10,0,7,1,0,28,9,11,0,
2025-02-27 05:30:55.033,6436098,16168578,4294967295,4294967295,4294967295,4294967295,4294967295,4294967295,4294967295,255,255,255,
2025-02-27 05:30:55.033,6436178,16168578,4294967295,4294967295,4294967295,4294967295,4294967295,4294967295,4294967295,8,4,0,
2025-02-27 05:30:55.054,6436098,16291038,0,11,0,3,2,0,11,11,8,1,
2025-02-27 05:30:55.190,6436096,15796303,0,565,0,341,53,655,17260,5,8,1,
2025-02-27 05:30:55.455,6436096,15886564,4294967295,4294967295,4294967295,4294967295,4294967295,4294967295,4294967295,8,5,1,
2025-02-27 05:30:55.549,6436097,15940829,0,12,0,9,2,17,20,11,8,1,
2025-02-27 05:30:55.549,6436238,15940662,0,16,0,44,56,149,3988,15,15,255,
2025-02-27 05:30:55.563,6436097,15941010,4294967295,4294967295,4294967295,4294967295,4294967295,4294967295,4294967295,14,9,0,
2025-02-27 05:30:55.576,6436178,15940999,0,482,0,21,0,296,52,8,4,0,
2025-02-27 05:30:55.654,6436097,16168581,4294967295,4294967295,4294967295,4294967295,4294967295,4294967295,4294967295,11,255,0,
2025-02-27 05:30:55.690,6436238,15796755,4294967295,4294967295,4294967295,4294967295,4294967295,4294967295,4294967295,15,255,255,
2025-02-27 05:30:55.728,6436238,828964665,0,5,0,6,3,5,24,15,15,255,
2025-02-27 05:30:55.757,6436238,15886551,0,6,0,11,0,16,44,7,255,255,
2025-02-27 05:30:55.813,6436097,15886458,0,20,0,120,75,175,9913,5,8,1,
2025-02-27 05:30:55.874,6436097,16291030,0,309,0,618,92,19386,20003,13,8,0,
2025-02-27 05:30:55.937,6436096,15940981,0,474,0,6,5,9,15,11,8,1,
2025-02-27 05:30:55.964,6436098,15886565,4294967295,4294967295,4294967295,4294967295,4294967295,4294967295,4294967295,11,255,0,
2025-02-27 05:30:56.022,6436098,828963198,0,334,0,355,35,12093,12387,12,5,0,
2025-02-27 05:30:56.170,6436097,15886552,0,47,0,49,49,896,151,12,10,1,
2025-02-27 05:30:56.180,6436098,16291047,0,47,0,65,0,940,629,13,255,0,
2025-02-27 05:30:56.234,6436238,828963725,0,61,0,117,118,349,3803,15,15,255,
2025-02-27 05:30:56.360,6436098,16168561,4294967295,4294967295,4294967295,4294967295,4294967295,4294967295,4294967295,9,6,2,
2025-02-27 05:30:56.360,6436178,16168561,4294967295,4294967295,4294967295,4294967295,4294967295,4294967295,4294967295,255,255,255,
2025-02-27 05:30:56.356,6436238,16168561,4294967295,4294967295,4294967295,4294967295,4294967295,4294967295,4294967295,255,255,255,
2025-02-27 05:30:56.464,6436097,828962127,0,460,0,178,3,16284,713,10,14,0,
2025-02-27 05:30:56.472,6436097,16168562,0,5,0,3,3,0,4,13,14,1,
2025-02-27 05:30:56.506,6436097,15796758,4294967295,4294967295,4294967295,4294967295,4294967295,4294967295,4294967295,8,9,1,
2025-02-27 05:30:56.534,6436097,828964446,10,910,0,58,0,3461,127,6,255,0,
2025-02-27 05:30:56.695,6436178,828964598,0,78,0,53,3,144,290,10,5,0,
2025-02-27 05:30:56.720,6436098,15886555,0,47,0,73,15,1824,210,12,6,0,
2025-02-27 05:30:56.727,6436096,16291024,0,473,0,6,0,0,20,11,8,0,
2025-02-27 05:30:56.753,6436137,828964612,18,1175,0,463,0,15623,5676,13,15,0,
2025-02-27 05:30:56.757,6436096,15941012,4294967295,4294967295,4294967295,4294967295,4294967295,4294967295,4294967295,12,11,1,
2025-02-27 05:30:56.759,6436238,16102365,0,89,0,139,139,193,423,15,15,255,
2025-02-27 05:30:56.819,6436097,15886418,10,1641,0,718,479,9731,36735,8,2,0,
2025-02-27 05:30:56.854,6436096,16168410,0,487,0,10,0,17,63,10,5,0,
