Datetime,Serving_Cell_Id, Call_Id, ulMcs,dlMcs
2025-02-27 05:30:54.956,6436097,16168553,26,16,
2025-02-27 05:30:55.011,6436098,15940980,25,18,
2025-02-27 05:30:55.054,6436098,16291038,24,15,
2025-02-27 05:30:55.190,6436096,15796303,26,10,
2025-02-27 05:30:55.548,6436097,15940829,26,19,
2025-02-27 05:30:55.548,6436238,15940662,22,13,
2025-02-27 05:30:55.576,6436178,15940999,22,8,
2025-02-27 05:30:55.727,6436238,828964665,26,2,
2025-02-27 05:30:55.756,6436238,15886551,21,5,
2025-02-27 05:30:55.813,6436097,15886458,26,11,
2025-02-27 05:30:55.874,6436097,16291030,10,17,
2025-02-27 05:30:55.937,6436096,15940981,26,11,
2025-02-27 05:30:56.021,6436098,828963198,5,17,
2025-02-27 05:30:56.170,6436097,15886552,17,14,
2025-02-27 05:30:56.180,6436098,16291047,20,20,
2025-02-27 05:30:56.233,6436238,828963725,22,17,
2025-02-27 05:30:56.464,6436097,828962127,5,16,
2025-02-27 05:30:56.472,6436097,16168562,12,24,
2025-02-27 05:30:56.534,6436097,828964446,1,6,
2025-02-27 05:30:56.695,6436178,828964598,21,4,
2025-02-27 05:30:56.720,6436098,15886555,22,16,
2025-02-27 05:30:56.727,6436096,16291024,21,16,
2025-02-27 05:30:56.753,6436137,828964612,11,22,
2025-02-27 05:30:56.758,6436238,16102365,21,16,
2025-02-27 05:30:56.819,6436097,15886418,5,6,
2025-02-27 05:30:56.854,6436096,16168410,16,14,
2025-02-27 05:30:56.968,6436098,15886403,26,15,
2025-02-27 05:30:57.183,6436238,16167876,26,25,
2025-02-27 05:30:57.253,6436238,15886452,22,25,
2025-02-27 05:30:57.349,6436098,828959225,21,10,
2025-02-27 05:30:57.429,6436178,16168485,21,9,
2025-02-27 05:30:57.789,6436096,15941003,25,11,
2025-02-27 05:30:57.818,6436238,16291031,26,24,
2025-02-27 05:30:57.836,6436096,15885868,22,15,
2025-02-27 05:30:57.891,6436098,15886161,22,16,
2025-02-27 05:30:58.110,6436098,15796747,19,8,
2025-02-27 05:30:58.237,6436138,828964398,19,8,
2025-02-27 05:30:58.239,6436238,15796748,16,11,
2025-02-27 05:30:58.284,6436097,15886559,15,8,
2025-02-27 05:30:58.287,6436096,16168576,25,20,
2025-02-27 05:30:58.347,6436238,828964380,10,8,
2025-02-27 05:30:58.368,6436098,15940943,25,10,
2025-02-27 05:30:58.371,6436098,16291051,26,13,
2025-02-27 05:30:58.415,6436097,16291043,21,16,
2025-02-27 05:30:58.413,6436238,16168569,28,14,
2025-02-27 05:30:58.660,6436097,16290888,8,24,
2025-02-27 05:30:58.740,6436238,828964664,21,8,
2025-02-27 05:30:58.790,6436096,15941006,26,18,
2025-02-27 05:30:58.786,6436238,15941006,4294967295,4294967295,
2025-02-27 05:30:58.804,6436098,16168528,18,21,
2025-02-27 05:30:58.842,6436136,828964659,19,9,
2025-02-27 05:30:58.845,6436178,828962359,4294967295,4294967295,
2025-02-27 05:30:58.852,6436098,828962359,19,12,
2025-02-27 05:30:59.110,6436098,16291008,8,10,
2025-02-27 05:30:59.110,6436238,16291008,4294967295,22,
2025-02-27 05:30:59.122,6436238,15940897,27,27,
2025-02-27 05:30:59.156,6436098,15940985,3,13,
2025-02-27 05:30:59.177,6436238,15885154,26,26,
2025-02-27 05:30:59.248,6436097,15796752,21,20,
2025-02-27 05:30:59.343,6436238,828963169,25,23,
2025-02-27 05:30:59.350,6436238,15940971,17,19,
2025-02-27 05:30:59.359,6436178,16168579,21,3,
2025-02-27 05:30:59.507,6436097,16168428,26,14,
2025-02-27 05:30:59.675,6436098,15941008,25,14,
2025-02-27 05:30:59.787,6436097,16166899,13,14,
2025-02-27 05:30:59.868,6436097,15941001,26,21,
2025-02-27 05:30:59.864,6436238,15941001,4294967295,4294967295,
2025-02-27 05:30:59.920,6436096,15796489,25,11,
2025-02-27 05:30:59.927,6436097,15796609,26,18,
2025-02-27 05:30:59.953,6436178,16168578,18,6,
2025-02-27 05:30:59.953,6436098,16168578,4294967295,4294967295,
2025-02-27 05:31:00.076,6436097,16168553,26,14,
2025-02-27 05:31:00.310,6436096,15796303,26,6,
2025-02-27 05:31:00.375,6436096,15886564,14,9,
2025-02-27 05:31:00.483,6436097,15941010,21,15,
2025-02-27 05:31:00.574,6436097,16168581,19,12,
2025-02-27 05:31:00.610,6436238,15796755,26,25,
2025-02-27 05:31:00.669,6436097,15940829,26,23,
2025-02-27 05:31:00.669,6436238,15940662,22,15,
2025-02-27 05:31:00.696,6436178,15940999,23,8,
2025-02-27 05:31:00.884,6436098,15886565,9,12,
2025-02-27 05:31:00.934,6436097,15886458,26,15,
2025-02-27 05:31:00.994,6436097,16291030,13,20,
